LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1740487281.724806,3158717.500,50224,2,PR,1,100,163543
1740487281.765308,3158758.000,50224,2,PR,1,100,163434
1740487281.804976,3158797.667,50240,3,PR,1,100,163579
1740487281.844645,3158837.333,50240,3,PR,1,100,163825
1740487281.884313,3158877.000,50240,3,PR,1,100,163931
1740487281.924314,3158917.000,50259,2,PR,1,100,164010
1740487281.964316,3158957.000,50259,2,PR,1,100,164023
1740487282.004318,3158997.000,50275,3,PR,1,100,163999
1740487282.044319,3159037.000,50275,3,PR,1,100,163968
1740487282.084321,3159077.000,50275,3,PR,1,100,163990
1740487282.124323,3159117.000,50291,2,PR,1,100,164052
1740487282.164324,3159157.000,50291,2,PR,1,100,164078
1740487282.204326,3159197.000,50307,3,PR,1,100,164105
1740487282.244328,3159237.000,50307,3,PR,1,100,164132
1740487282.284329,3159277.000,50307,3,PR,1,100,164168
1740487282.324331,3159317.000,50324,3,PR,1,100,164161
1740487282.364332,3159357.000,50324,3,PR,1,100,164189
1740487282.404334,3159397.000,50324,3,PR,1,100,164184
1740487282.444336,3159437.000,50341,2,PR,1,100,163788
1740487282.484337,3159477.000,50341,2,PR,1,100,163426
1740487282.524339,3159517.000,50356,3,PR,1,100,163498
1740487282.564341,3159557.000,50356,3,PR,1,100,163695
1740487282.604342,3159597.000,50356,3,PR,1,100,163878
1740487282.644344,3159637.000,50374,2,PR,1,100,163999
1740487282.684346,3159677.000,50374,2,PR,1,100,164048
1740487282.724347,3159717.000,50392,3,PR,1,100,164034
1740487282.764349,3159757.000,50392,3,PR,1,100,163997
1740487282.804350,3159797.000,50392,3,PR,1,100,163980
1740487282.844352,3159837.000,50408,2,PR,1,100,164035
1740487282.884354,3159877.000,50408,2,PR,1,100,164056
1740487282.924355,3159917.000,50423,3,PR,1,100,164097
1740487282.964357,3159957.000,50423,3,PR,1,100,164140
1740487283.004359,3159997.000,50423,3,PR,1,100,164169
1740487283.044360,3160037.000,50440,3,PR,1,100,164177
1740487283.084362,3160077.000,50440,3,PR,1,100,164194
1740487283.124364,3160117.000,50440,3,PR,1,100,164188
1740487283.164365,3160157.000,50457,2,PR,1,100,163805
1740487283.204367,3160197.000,50457,2,PR,1,100,163511
