LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1709495478.486067,69150.000,8672,4,PR,1,100,152206
1709495478.526068,69190.000,8688,3,PR,1,100,152055
1709495478.566068,69230.000,8688,3,PR,1,100,152066
1709495478.606069,69270.000,8688,3,PR,1,100,152149
1709495478.652569,69316.500,8705,2,PR,1,100,152204
1709495478.699070,69363.000,8705,2,PR,1,100,152304
1709495478.739070,69403.000,8720,3,PR,1,100,152276
1709495478.779070,69443.000,8720,3,PR,1,100,152190
1709495478.819071,69483.000,8720,3,PR,1,100,152139
1709495478.859071,69523.000,8737,2,PR,1,100,152190
1709495478.899072,69563.000,8737,2,PR,1,100,152239
1709495478.939072,69603.000,8755,3,PR,1,100,152293
1709495478.979073,69643.000,8755,3,PR,1,100,152365
1709495479.019073,69683.000,8755,3,PR,1,100,152432
1709495479.059074,69723.000,8773,2,PR,1,100,152471
1709495479.099074,69763.000,8773,2,PR,1,100,152500
1709495479.139075,69803.000,8787,3,PR,1,100,152563
1709495479.179075,69843.000,8787,3,PR,1,100,152603
1709495479.219075,69883.000,8787,3,PR,1,100,152657
1709495479.259076,69923.000,8804,2,PR,1,100,152688
1709495479.299076,69963.000,8804,2,PR,1,100,152747
1709495479.339077,70003.000,8821,3,PR,1,100,152784
1709495479.379077,70043.000,8821,3,PR,1,100,152852
1709495479.419078,70083.000,8821,3,PR,1,100,152887
1709495479.459078,70123.000,8838,2,PR,1,100,152961
1709495479.499079,70163.000,8838,2,PR,1,100,152996
1709495479.539079,70203.000,8852,3,PR,1,100,153088
1709495479.579080,70243.000,8852,3,PR,1,100,153041
1709495479.619080,70283.000,8852,3,PR,1,100,152674
1709495479.659080,70323.000,8869,3,PR,1,100,152257
1709495479.699081,70363.000,8869,3,PR,1,100,152049
1709495479.739081,70403.000,8869,3,PR,1,100,152045
1709495479.779082,70443.000,8888,2,PR,1,100,152085
1709495479.819082,70483.000,8888,2,PR,1,100,152146
1709495479.859083,70523.000,8905,3,PR,1,100,152221
1709495479.899083,70563.000,8905,3,PR,1,100,152232
1709495479.939084,70603.000,8905,3,PR,1,100,152174
1709495479.979084,70643.000,8919,2,PR,1,100,152107
1709495480.019085,70683.000,8919,2,PR,1,100,152123
1709495480.059085,70723.000,8937,3,PR,1,100,152177
1709495480.099085,70763.000,8937,3,PR,1,100,152245
1709495480.139086,70803.000,8937,3,PR,1,100,152330
1709495480.179086,70843.000,8955,2,PR,1,100,152390
1709495480.219087,70883.000,8955,2,PR,1,100,152453
1709495480.259087,70923.000,8972,3,PR,1,100,152516
1709495480.299088,70963.000,8972,3,PR,1,100,152558
1709495480.339088,71003.000,8972,3,PR,1,100,152641
1709495480.379089,71043.000,8988,2,PR,1,100,152677
1709495480.419089,71083.000,8988,2,PR,1,100,152731
1709495480.459090,71123.000,9004,3,PR,1,100,152787
1709495480.499090,71163.000,9004,3,PR,1,100,152864
1709495480.539090,71203.000,9004,3,PR,1,100,152924
1709495480.579091,71243.000,9020,2,PR,1,100,152973
1709495480.619091,71283.000,9020,2,PR,1,100,153048
1709495480.659092,71323.000,9038,3,PR,1,100,153087
1709495480.699092,71363.000,9038,3,PR,1,100,153170
1709495480.739093,71403.000,9038,3,PR,1,100,153243
1709495480.779093,71443.000,9054,2,PR,1,100,153320
1709495480.819094,71483.000,9054,2,PR,1,100,153226
1709495480.859094,71523.000,9069,3,PR,1,100,152796
1709495480.899095,71563.000,9069,3,PR,1,100,152407
1709495480.939095,71603.000,9069,3,PR,1,100,152264
1709495480.979095,71643.000,9085,3,PR,1,100,152298
1709495481.019096,71683.000,9085,3,PR,1,100,152384
1709495481.059096,71723.000,9085,3,PR,1,100,152479
1709495481.099097,71763.000,9103,2,PR,1,100,152526
1709495481.139097,71803.000,9103,2,PR,1,100,152471
1709495481.179098,71843.000,9119,2,PR,1,100,152374
1709495481.219098,71883.000,9119,2,PR,1,100,152312
1709495481.263432,71927.333,9134,3,PR,1,100,152351
1709495481.307766,71971.667,9134,3,PR,1,100,152433
1709495481.352100,72016.000,9134,3,PR,1,100,152512
1709495481.392100,72056.000,9153,2,PR,1,100,152545
1709495481.432101,72096.000,9153,2,PR,1,100,152609
1709495481.472101,72136.000,9170,3,PR,1,100,152641
1709495481.512102,72176.000,9170,3,PR,1,100,152720
1709495481.552102,72216.000,9170,3,PR,1,100,152735
1709495481.592102,72256.000,9186,2,PR,1,100,152786
1709495481.632103,72296.000,9186,2,PR,1,100,152793
1709495481.672437,72336.333,9202,3,PR,1,100,152840
1709495481.712770,72376.667,9202,3,PR,1,100,152888
1709495481.753104,72417.000,9202,3,PR,1,100,152942
1709495481.792605,72456.500,9218,2,PR,1,100,153031
1709495481.832105,72496.000,9218,2,PR,1,100,153061
1709495481.872106,72536.000,9240,3,PR,1,100,152823
1709495481.912106,72576.000,9240,3,PR,1,100,152393
1709495481.952106,72616.000,9240,3,PR,1,100,152136
1709495481.992107,72656.000,9256,3,PR,1,100,152053
1709495482.032107,72696.000,9256,3,PR,1,100,152059
1709495482.072108,72736.000,9256,3,PR,1,100,152102
1709495482.112108,72776.000,9272,2,PR,1,100,152181
1709495482.152109,72816.000,9272,2,PR,1,100,152252
1709495482.192109,72856.000,9288,3,PR,1,100,152208
1709495482.232110,72896.000,9288,3,PR,1,100,152146
1709495482.272110,72936.000,9288,3,PR,1,100,152143
1709495482.312111,72976.000,9305,2,PR,1,100,152179
1709495482.352111,73016.000,9305,2,PR,1,100,152259
1709495482.392111,73056.000,9324,3,PR,1,100,152335
1709495482.432112,73096.000,9324,3,PR,1,100,152394
1709495482.472112,73136.000,9324,3,PR,1,100,152460
1709495482.512113,73176.000,9340,2,PR,1,100,152509
1709495482.552113,73216.000,9340,2,PR,1,100,152577
1709495482.592114,73256.000,9355,3,PR,1,100,152607
1709495482.632114,73296.000,9355,3,PR,1,100,152668
1709495482.672115,73336.000,9355,3,PR,1,100,152696
1709495482.712115,73376.000,9373,2,PR,1,100,152730
1709495482.752116,73416.000,9373,2,PR,1,100,152797
