LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1709495483.352122,74016.000,9470,3,PI,1,100,156887
1709495483.392123,74056.000,9470,3,PI,1,100,157005
1709495483.432123,74096.000,9485,2,PI,1,100,157166
1709495483.472124,74136.000,9485,2,PI,1,100,157325
1709495483.512124,74176.000,9504,3,PI,1,100,157498
1709495483.552125,74216.000,9504,3,PI,1,100,157642
1709495483.592125,74256.000,9504,3,PI,1,100,157778
1709495483.632126,74296.000,9520,2,PI,1,100,157917
1709495483.672126,74336.000,9520,2,PI,1,100,158043
1709495483.712126,74376.000,9538,3,PI,1,100,158158
1709495483.752127,74416.000,9538,3,PI,1,100,158283
1709495483.792127,74456.000,9538,3,PI,1,100,158417
1709495483.832128,74496.000,9552,2,PI,1,100,158580
1709495483.872128,74536.000,9552,2,PI,1,100,158672
1709495483.918629,74582.500,9569,2,PI,1,100,158798
1709495483.965129,74629.000,9569,2,PI,1,100,158903
1709495484.005130,74669.000,9586,3,PI,1,100,159071
